task,id,trial,order,ori_mean,ori_var,judge,answer,result,judge_rt,line_pos,payoff_solo,payoff_jitter,payoff_group,choice,choice_rt,option_pos,rating,rating_rt,rating_init,rating_history,iti
group,1,68,post,-3,64,clockwise,anticlockwise,wrong,1.3281636300007449,ca,640,-10,500,solo,0.7372972900002424,sg,3,2.314601472000504,1,"[(1, 0.00047334899954876164), (2, 0.5556009140000242), (3, 1.0674979679997705), (2, 1.5634593209997547), (3, 1.9474866569998994), (3, 2.3154122039995855)]",0.5772560491332561
group,1,69,post,3,16,clockwise,clockwise,correct,0.6437471769995682,ac,640,10,500,solo,0.6248968350000723,sg,4,0.6378423340001973,3,"[(3, 0.000492435000523983), (4, 0.335016025999721), (4, 0.6386425809996581)]",0.5248400277730808
group,1,70,post,3,8,clockwise,clockwise,correct,0.9886638680000033,ac,770,0,500,solo,0.8920435879999786,gs,6,1.4391481009997733,5,"[(5, 0.0004926759993395535), (6, 0.24037874600071518), (5, 0.8641232440004387), (6, 1.248199418000695), (6, 1.4399261960006697)]",0.4495195840433074
group,1,71,pre,3,8,clockwise,clockwise,correct,0.9618707290001112,ca,590,-10,500,solo,1.4785074709998298,gs,5,2.25689149200025,3,"[(3, 0.00047642899971833685), (4, 0.6738788439997734), (5, 0.8978289080005197), (6, 1.2339040229999227), (5, 1.7459702550004295), (5, 2.2575970140005666)]",0.5276583229068319
group,1,72,post,-3,32,anticlockwise,anticlockwise,correct,0.7328510470006222,ac,1400,-10,500,solo,0.5974971460000233,sg,3,2.307964765000179,4,"[(4, 0.00047776599967619404), (3, 2.004972816999725), (3, 2.3089444709994495)]",0.5360841375066864
group,1,73,post,-3,64,anticlockwise,anticlockwise,correct,1.0222503109998797,ac,850,10,500,solo,0.7639279100003478,sg,2,1.123968646999856,1,"[(1, 0.0006155889996080077), (2, 0.5168876039997485), (2, 1.1247795970002699)]",0.4890768427211352
group,1,74,post,3,64,clockwise,clockwise,correct,0.6224211360004119,ac,1400,-10,500,solo,0.556195041999672,sg,3,2.6520652139997765,2,"[(2, 0.00048153700026887236), (3, 0.4132233790005557), (2, 0.8449629480001022), (3, 1.2451331390002451), (4, 1.581035631999839), (3, 2.173068210000565), (3, 2.6529511899998397)]",0.48125434547990187
group,1,75,post,-3,16,anticlockwise,anticlockwise,correct,0.9727030809999633,ca,640,10,500,solo,0.6043471479997606,sg,4,0.8901059169993459,2,"[(2, 0.00047685600020486163), (3, 0.44326129000000947), (4, 0.6190109099998153), (4, 0.8909602820003784)]",0.41860052607257725
group,1,76,post,-3,8,anticlockwise,anticlockwise,correct,0.8968068860003768,ca,940,-10,500,solo,0.6288615800003754,sg,5,3.0569528269998045,6,"[(6, 0.0004808630001207348), (5, 0.6260140490003323), (4, 0.8660371699997995), (5, 2.401935548000438), (5, 3.057789870000306)]",0.4044978541579857
group,1,77,post,3,32,clockwise,clockwise,correct,0.8299508939999214,ca,640,0,500,solo,0.5303675639997891,sg,5,1.9073423649997494,1,"[(1, 0.000480511000205297), (2, 0.4204728790000445), (3, 0.5803346060001786), (4, 0.7723865389998537), (5, 1.7163320429999658), (5, 1.9080565479998768)]",0.5001515924377076
group,1,78,pre,-3,16,anticlockwise,anticlockwise,correct,0.7074669089997769,ac,1400,10,500,solo,0.9821380040002623,sg,5,1.276733110999885,3,"[(3, 0.0004779110004164977), (4, 0.5418033670002842), (5, 0.7817538330000389), (5, 1.2776401330002045)]",0.5653308315976635
group,1,79,post,3,8,clockwise,clockwise,correct,0.7366061760003504,ca,1150,0,500,solo,0.5377440419997583,sg,6,2.538687132000632,1,"[(1, 0.000645645000076911), (2, 0.47572850699998526), (3, 0.6835139739996521), (4, 0.8595075439998254), (5, 1.0355030310001894), (6, 1.3877196849998654), (5, 1.8354553560002387), (6, 2.235511605999818), (6, 2.5396006820001276)]",0.5178282444295612
group,1,80,post,3,16,clockwise,clockwise,correct,1.4977078949996212,ac,850,10,500,solo,0.596346877000542,sg,3,1.2506580650006072,2,"[(2, 0.00047690100018371595), (3, 0.6275454490005359), (3, 1.2514070330007598)]",0.5693915486720952
group,1,81,post,-3,32,anticlockwise,anticlockwise,correct,0.9688987350000389,ca,640,10,500,solo,0.5050487920007072,sg,1,1.6270261310000933,5,"[(5, 0.00048335399969801074), (4, 0.41206004499963456), (3, 0.6359037530000933), (2, 0.8439744219995191), (1, 1.3240099069998905), (1, 1.6279317319995243)]",0.46934795912530325
group,1,82,post,-3,8,anticlockwise,anticlockwise,correct,1.203710640999816,ca,1270,10,500,solo,0.618384896999487,sg,6,0.5836404410001705,5,"[(5, 0.0005139509994478431), (6, 0.20084086099996057), (6, 0.5844436269999278)]",0.409739492802159
group,1,83,post,-3,16,anticlockwise,anticlockwise,correct,0.9219711910000115,ca,1040,-10,500,solo,1.0038771700001234,gs,4,1.114720712000235,1,"[(1, 0.0005471029999171151), (2, 0.44383508099963365), (3, 0.6356774149999183), (4, 0.7956403400003182), (4, 1.115519344999484)]",0.43022618625076353
group,1,84,post,3,16,clockwise,clockwise,correct,0.6726889820001816,ca,770,-10,500,solo,0.6362526659995638,sg,4,1.673762139000246,1,"[(1, 0.0004793819998667459), (2, 0.5229180139995151), (3, 0.714703906000068), (4, 0.9226324800001748), (4, 1.6745155759999761)]",0.5948588828708115
group,1,85,post,-3,64,clockwise,anticlockwise,wrong,1.1806632450006873,ac,940,0,500,solo,0.8535241480003606,gs,2,0.8570588709999356,1,"[(1, 0.0004767929995068698), (2, 0.5541550150001058), (2, 0.8580266110002412)]",0.4779514426584585
group,1,86,post,3,32,clockwise,clockwise,correct,1.0820128519999344,ac,550,-10,500,solo,1.5744457079999847,gs,3,1.5018656009997358,6,"[(6, 0.0004831689993807231), (6, 0.35086189300000115), (5, 0.606773759999669), (4, 0.8149808250000206), (3, 1.0227710600001956), (3, 1.5027315130000716)]",0.5660338472175502
group,1,87,pre,-3,64,clockwise,anticlockwise,wrong,1.2752372049999394,ac,550,-10,500,solo,1.792118407000089,sg,1,1.5815028189999794,5,"[(5, 0.00047721699957037345), (4, 0.5423647190000338), (3, 0.7664543299997604), (2, 0.942411264999464), (1, 1.294502652999654), (1, 1.5821445789997597)]",0.5980608811006306
group,1,88,post,3,64,clockwise,clockwise,correct,0.533660095000414,ac,640,0,500,solo,0.8064263749993188,gs,3,1.0843711489997077,4,"[(4, 0.0004802650000783615), (3, 0.5094918620006865), (3, 1.0853340990006473)]",0.5009108174319066
group,1,89,post,-3,32,clockwise,anticlockwise,wrong,1.0629095840004084,ca,590,-10,500,solo,0.7707648410005277,sg,4,0.7944575880001139,4,"[(4, 0.0004773029995703837), (4, 0.7954606539997258)]",0.5357179160474124
group,1,90,post,3,8,clockwise,clockwise,correct,0.7394860860003973,ca,700,0,500,solo,0.65269829799945,sg,5,1.6727350390001448,6,"[(6, 0.00048812000022735447), (5, 0.5696100049999586), (4, 0.7617163619997882), (5, 1.337737761000426), (5, 1.6734808589999375)]",0.4565224131014274
group,1,91,post,-3,16,anticlockwise,anticlockwise,correct,0.6833648190004169,ac,850,0,500,solo,0.8397214529995836,gs,6,1.2435631099997408,5,"[(5, 0.0004669089994422393), (6, 1.0045673499998884), (6, 1.2444929650000631)]",0.5286820722866753
group,1,92,post,-3,8,anticlockwise,anticlockwise,correct,1.2028791020002245,ca,1040,10,500,solo,0.6978610530004516,sg,6,1.2352293519998057,3,"[(3, 0.0005483260001710732), (4, 0.4522709510001732), (5, 0.6440409280003223), (6, 0.8201876030007043), (6, 1.2360671970000112)]",0.4490328693596084
